"Code Article";"Description";"Description 2";"Code Famille";"Titre Famille";"Sous-famille";"Nomenclature";"Pays d'origine";"Section";"Unité de mesure";"Code à Barres";"Code Barres Fournisseur";"Prix Unitaire";"Remise Promotion";"Prix d'Achat de Défaut";"TVA";"Existance";"Inventaire de Sécurité";"Commentaires";"Catégorie";"Fabriqué";"Suivi de Produit";"Coût par Numéro de Série";"Inactive"
"REP228467";"(10) Charging Port TCL 10 5G (T790Y)";"";"TCL";"Reparacoes TCL (TCL)";"TCL 10";"TCL";"";"";"Uni";"5600358228467";"";"41,63";"0";"0,00";"20";"0";"0";"";"Porta de Ligacao";"0";"0";"";"0"
"REP227019";"(10) Display TCL 10 5G";"";"TCL";"Reparacoes TCL (TCL)";"TCL 10";"TCL";"";"";"Uni";"5600358227019";"";"56,67";"0";"0,00";"20";"0";"5";"";"Vidro";"0";"0";"0";"0"
"REP259362";"(10+) Back Cover TCL 10 Plus Purple (T782H)";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"Uni";"5600358259362";"";"33,29";"0";"0,00";"20";"0";"0";"";"Capa Traseira";"0";"0";"";"0"
"REP228849";"(10+) Charging Port TCL 10 Plus";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"Uni";"5600358228849";"";"33,29";"0";"0,00";"20";"1";"7";"";"Porta de Ligacao";"0";"0";"0";"0"
"REP334809";"(10+) Fingerprint Sensor TCL 10 Plus T782H";"";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"pcs";"5600358334809";"";"41,63";"0";"0,00";"20";"0";"0";"";"Outras Reparacoes";"0";"0";"0";"0"
"REP249684";"(10+) Front Camera TCL 10 Plus (T782H)";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"Uni";"5600358249684";"";"33,29";"0";"0,00";"20";"0";"0";"";"Camera";"0";"0";"";"0"
"REP365827";"(10+) Middle Frame TCL 10 Plus";"";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"pcs";"5600358365827";"";"29,13";"0";"0,00";"20";"0";"0";"";"Frame";"0";"0";"0";"0"
"REP93413";"(10+)(10Pro) Display TCL 10 Plus / 10 Pro";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"Uni";"5600358193413";"";"90,00";"0";"0,00";"20";"0";"0";"";"Vidro";"0";"0";"0";"0"
"REP222380";"(10+)(10Pro) Display TCL 10 Plus / 10 Pro Blue";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"Uni";"5600358222380";"";"90,00";"0";"0,00";"20";"0";"0";"";"Vidro";"0";"0";"";"0"
"REP219304";"(10+)(10Pro) Display TCL 10 Plus / 10 Pro Violet";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"Uni";"5600358219304";"";"90,00";"0";"0,00";"20";"0";"0";"";"Vidro";"0";"0";"";"0"
"REP255791";"(10+)(10Pro)(20Pro) Battery TCL 10 Plus / 10 Pro / 20 Pro";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10+";"TCL";"";"";"Uni";"5600358255791";"";"41,63";"0";"0,00";"20";"1";"7";"";"Bateria";"0";"0";"";"0"
"REP245341";"(10L) Back Cover TCL 10L T770H Mariana Blue";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10L";"TCL";"";"";"Uni";"5600358245341";"";"33,29";"0";"0,00";"20";"0";"0";"";"Capa Traseira";"0";"0";"";"0"
"REP200494";"(10L) Back Cover TCL 10L T770H White";"";"TCL";"Reparacoes TCL (TCL)";"TCL 10L";"TCL";"";"";"Uni";"5600358200494";"";"33,29";"0";"0,00";"20";"0";"0";"";"Capa Traseira";"0";"0";"";"0"
"REP220829";"(10L) Charging Port TCL 10L";"";"TCL";"Reparacoes TCL (TCL)";"TCL 10L";"TCL";"";"";"Uni";"5600358220829";"";"41,63";"0";"0,00";"20";"0";"0";"";"Porta de Ligacao";"0";"0";"";"0"
"REP215627";"(10L) System Connector TCL 10L";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10L";"TCL";"";"";"Uni";"5600358215627";"";"41,63";"0";"0,00";"20";"0";"0";"";"Porta de Ligacao";"0";"0";"";"0"
"REP229655";"(10L)(10Lite) Sim Tray TCL 10L / TCL 10 Lite";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10L";"TCL";"";"";"Uni";"5600358229655";"";"8,29";"0";"0,00";"20";"0";"0";"";"Outras Reparacoes";"0";"0";"";"0"
"REP280502";"(10L)(Plex) Main Flex TCL 10L / TCL Plex 780H";".";"TCL";"Reparacoes TCL (TCL)";"TCL 10L";"TCL";"";"";"Uni";"5600358280502";"";"33,29";"0";"0,00";"20";"0";"0";"";"Outras Reparacoes";"0";"0";"";"0"
